Year,WAIs Count
1985,1
1987,1
1996,2
1999,1
2001,2
2007,1
2013,2
2022,1
2024,1
2025,2
2026,1
2037,1
2038,3
2041,1
2043,1
2049,1
2053,1
2054,1
2062,1
2070,2
2071,1
2074,1
2080,1
2083,1
2086,1
2088,1
2090,1
2092,1
2094,1
2095,1
2096,1
2097,1
