Year,Event Count
1998,330
1999,347
2000,392
2001,387
2002,349
2003,353
2004,382
2005,417
2006,374
2007,368
2008,387
2009,368
2010,347
2011,394
2012,372
2013,394
2014,418
2015,436
2016,447
2017,386
2018,445
2019,392
2020,390
2021,356
