Year,Event Count
1984,313
1985,308
1986,250
1987,239
1988,284
1989,287
1990,346
1991,338
1992,314
1993,300
1994,317
1995,349
1996,260
1997,305
1998,279
1999,280
2000,244
2001,293
2002,345
2003,312
2004,261
2005,296
2006,302
2007,320
2008,302
2009,304
2010,290
2011,310
2012,314
2013,287
