Year,Event Count
1984,313
1985,306
1986,291
1987,316
1988,328
1989,360
1990,300
1991,298
1992,292
1993,350
1994,316
1995,258
1996,274
1997,328
1998,320
1999,309
2000,332
2001,319
2002,358
2003,318
2004,348
2005,359
2006,345
2007,315
2008,348
2009,297
2010,303
2011,301
2012,284
2013,338
