Year,Event Count
1979,189
1980,235
1981,227
1982,237
1983,218
1984,218
1985,199
1986,207
1987,233
1988,248
1989,245
1990,231
1991,234
1992,231
1993,225
1994,192
1995,220
1996,220
1997,218
1998,217
1999,202
2000,250
2001,256
2002,230
2003,232
2004,244
2005,261
2006,251
2007,232
2008,242
2009,229
2010,229
2011,236
2012,245
2013,253
2014,273
2015,278
2016,293
2017,240
2018,303
2019,263
2020,250
2021,244
