Year,Event Count
1979,245
1980,305
1981,306
1982,309
1983,288
1984,291
1985,281
1986,277
1987,309
1988,324
1989,311
1990,310
1991,304
1992,296
1993,301
1994,255
1995,287
1996,290
1997,300
1998,276
1999,288
2000,361
2001,335
2002,311
2003,316
2004,332
2005,356
2006,329
2007,321
2008,332
2009,283
2010,305
2011,353
2012,337
2013,354
2014,379
2015,380
2016,398
2017,342
2018,390
2019,356
2020,334
2021,326
